,column_name,shap_importance
194,A195,0.0
193,A194,0.0
191,A192,0.0
189,A190,0.0
201,A202,0.0
183,A184,0.0
182,A183,0.0
181,A182,0.0
180,A181,0.0
179,A180,0.0
178,A179,0.0
200,A201,0.0
202,A203,0.0
175,A176,0.0
212,A213,0.0
218,A219,0.0
217,A218,0.0
216,A217,0.0
215,A216,0.0
214,A215,0.0
213,A214,0.0
211,A212,0.0
203,A204,0.0
210,A211,0.0
209,A210,0.0
208,A209,0.0
207,A208,0.0
205,A206,0.0
204,A205,0.0
177,A178,0.0
172,A173,0.0
292,A294,0.0
82,A83,0.0
25,A26,0.0
26,A27,0.0
27,A28,0.0
28,A29,0.0
32,A33,0.0
33,A34,0.0
80,A81,0.0
23,A24,0.0
71,A72,0.0
66,A67,0.0
39,A40,0.0
40,A41,0.0
48,A49,0.0
46,A47,0.0
113,A114,0.0
20,A21,0.0
171,A172,0.0
158,A159,0.0
170,A171,0.0
168,A169,0.0
166,A167,0.0
164,A165,0.0
163,A164,0.0
162,A163,0.0
156,A157,0.0
19,A20,0.0
154,A155,0.0
153,A154,0.0
148,A149,0.0
144,A145,0.0
141,A142,0.0
133,A134,0.0
220,A221,0.0
221,A222,0.0
222,A223,0.0
266,A267,0.0
273,A275,0.0
272,A274,0.0
271,A273,0.0
270,A272,0.0
268,A269,0.0
267,A268,0.0
265,A266,0.0
275,A277,0.0
264,A265,0.0
263,A264,0.0
262,A263,0.0
261,A262,0.0
260,A261,0.0
259,A260,0.0
274,A276,0.0
276,A278,0.0
223,A224,0.0
285,A287,0.0
291,A293,0.0
290,A292,0.0
289,A291,0.0
288,A290,0.0
287,A289,0.0
286,A288,0.0
284,A286,0.0
277,A279,0.0
283,A285,0.0
282,A284,0.0
281,A283,0.0
280,A282,0.0
279,A281,0.0
278,A280,0.0
258,A259,0.0
257,A258,0.0
256,A257,0.0
231,A232,0.0
237,A238,0.0
236,A237,0.0
235,A236,0.0
234,A235,0.0
233,A234,0.0
232,A233,0.0
230,A231,0.0
255,A256,0.0
229,A230,0.0
228,A229,0.0
227,A228,0.0
226,A227,0.0
225,A226,0.0
224,A225,0.0
238,A239,0.0
239,A240,0.0
240,A241,0.0
45,A46,0.0
242,A243,0.0
243,A244,0.0
244,A245,0.0
245,A246,0.0
246,A247,0.0
247,A248,0.0
248,A249,0.0
249,A250,0.0
250,A251,0.0
251,A252,0.0
252,A253,0.0
253,A254,0.0
254,A255,0.0
219,A220,0.0
