iter	Passed	Remaining
764	54344	16693
765	54408	16620
766	54471	16547
767	54538	16475
768	54600	16401
769	54667	16329
770	54731	16256
771	54802	16185
772	54870	16113
773	54940	16041
774	55003	15968
775	55067	15895
776	55135	15824
777	55202	15751
778	55269	15679
779	55335	15607
780	55398	15534
781	55465	15462
782	55532	15390
783	55599	15318
784	55663	15245
785	55728	15172
786	55798	15101
787	55867	15030
788	55935	14958
789	56003	14887
790	56068	14814
791	56136	14742
792	56203	14671
793	56263	14597
794	56331	14525
795	56402	14454
796	56468	14382
797	56533	14310
798	56597	14237
799	56662	14165
800	56727	14093
801	56792	14020
802	56856	13948
803	56926	13877
804	56989	13804
805	57057	13733
806	57125	13662
807	57189	13589
808	57254	13517
809	57321	13445
810	57391	13374
811	57458	13303
812	57525	13231
813	57591	13159
814	57655	13087
815	57722	13015
816	57789	12944
817	57855	12872
818	57920	12800
819	57987	12728
820	58053	12657
821	58121	12585
822	58183	12513
823	58242	12440
824	58310	12368
825	58376	12297
826	58440	12225
827	58505	12153
828	58567	12080
829	58631	12008
830	58695	11936
831	58759	11864
832	58824	11793
833	58887	11721
834	58957	11650
835	59023	11578
836	59086	11506
837	59150	11434
838	59215	11363
839	59283	11292
840	59346	11220
841	59412	11148
842	59475	11076
843	59539	11005
844	59607	10933
845	59673	10862
846	59737	10790
847	59803	10719
848	59869	10648
849	59931	10576
850	59996	10504
851	60066	10434
852	60125	10361
853	60192	10290
854	60255	10218
855	60321	10147
856	60387	10076
857	60457	10005
858	60521	9934
859	60590	9863
860	60658	9792
861	60723	9721
862	60786	9649
863	60846	9577
864	60910	9506
865	60977	9435
866	61042	9364
867	61106	9292
868	61169	9221
869	61233	9149
870	61299	9078
871	61366	9007
872	61424	8935
873	61484	8863
874	61553	8793
875	61619	8722
876	61688	8651
877	61757	8581
878	61825	8510
879	61892	8439
880	61966	8370
881	62044	8300
882	62110	8229
883	62179	8159
884	62246	8088
885	62314	8017
886	62384	7947
887	62456	7877
888	62526	7807
889	62595	7736
890	62663	7665
891	62733	7595
892	62803	7525
893	62871	7454
894	62938	7383
895	63015	7314
896	63095	7245
897	63159	7174
898	63236	7104
899	63307	7034
900	63380	6964
901	63450	6893
902	63521	6823
903	63596	6753
904	63667	6683
905	63739	6613
906	63802	6542
907	63870	6471
908	63936	6400
909	64002	6329
910	64074	6259
911	64141	6189
912	64214	6119
913	64284	6048
914	64353	5978
915	64425	5908
916	64498	5837
917	64567	5767
918	64639	5697
919	64715	5627
920	64786	5557
921	64850	5486
922	64919	5415
923	64986	5345
924	65052	5274
925	65118	5203
926	65189	5133
927	65264	5063
928	65335	4993
929	65405	4922
930	65478	4852
931	65546	4782
932	65612	4711
933	65681	4641
934	65752	4571
935	65829	4501
936	65900	4430
937	65979	4361
938	66049	4290
939	66118	4220
940	66186	4149
941	66266	4080
942	66331	4009
943	66401	3939
944	66476	3869
945	66538	3798
946	66606	3727
947	66677	3657
948	66750	3587
949	66823	3517
950	66885	3446
951	66956	3375
952	67022	3305
953	67086	3234
954	67147	3164
955	67210	3093
956	67279	3023
957	67346	2952
958	67412	2882
959	67483	2811
960	67547	2741
961	67614	2670
962	67678	2600
963	67745	2529
964	67811	2459
965	67878	2389
966	67947	2318
967	68017	2248
968	68089	2178
969	68153	2107
970	68221	2037
971	68285	1967
972	68350	1896
973	68417	1826
974	68486	1756
975	68561	1685
976	68629	1615
977	68691	1545
978	68755	1474
979	68822	1404
980	68888	1334
981	68956	1263
982	69021	1193
983	69083	1123
984	69149	1053
985	69215	982
986	69283	912
987	69358	842
988	69429	772
989	69504	702
990	69580	631
991	69645	561
992	69714	491
993	69786	421
994	69861	351
995	69931	280
996	70002	210
997	70073	140
998	70139	70
999	70206	0
